City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,General Luna,PH,75.56,overcast clouds,13.6881,122.1708,Mamao Beach Resort
1,Souillac,MU,80.98,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
3,Cape Town,ZA,78.12,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
12,Bengkulu,ID,78.21,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
13,Hermanus,ZA,77.9,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
14,Atuona,PF,77.16,clear sky,-9.8,-139.0333,Villa Enata
21,Saint-Philippe,RE,80.19,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
25,Tacuarembo,UY,78.76,clear sky,-31.7333,-55.9833,Complejo San Fructuoso
29,Meulaboh,ID,80.46,broken clouds,4.1363,96.1285,Kost Pria
30,Puerto Ayora,EC,82.36,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
32,Port Blair,IN,80.1,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
38,Faanui,PF,81.07,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
39,Rikitea,PF,77.38,light rain,-23.1203,-134.9692,People ThankYou
42,Muisne,EC,82.51,light rain,0.6,-80.0333,Quinta Samay
43,Avarua,CK,78.85,few clouds,-21.2078,-159.775,Paradise Inn
44,Acapulco,MX,75.02,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
58,Butaritari,KI,81.93,few clouds,3.0707,172.7902,Isles Sunset Lodge
64,Isangel,VU,77.23,moderate rain,-19.55,169.2667,Tanna Lodge
66,Hithadhoo,MV,81.25,broken clouds,-0.6,73.0833,Scoop Guest House
70,Caucaia,BR,78.08,overcast clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
73,East London,ZA,76.14,clear sky,-33.0153,27.9116,Tu Casa
78,Baragua,CU,80.06,moderate rain,21.6967,-78.6328,Hotel Itabo
84,Carnarvon,AU,75.27,clear sky,-24.8667,113.6333,Hospitality Carnarvon
92,Georgetown,MY,83.95,few clouds,5.4112,100.3354,Cititel Penang
94,Richards Bay,ZA,80.89,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
105,Turan,VN,75.25,scattered clouds,16.0678,108.2208,Sun River Hotel
108,Port Elizabeth,ZA,76.1,broken clouds,-33.918,25.5701,39 On Nile Guest House
119,Palmerston,AU,80.58,light intensity shower rain,-12.486,130.9833,Quest Palmerston - Serviced Apartments and Accommodation
120,Sao Felix Do Xingu,BR,77.07,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
