City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,General Luna,PH,13.6881,122.1708,75.56,90,87,2.15,overcast clouds
1,Souillac,MU,-20.5167,57.5167,80.98,74,75,4.61,broken clouds
2,Longyearbyen,SJ,78.2186,15.6401,12.04,67,40,13.8,scattered clouds
3,Cape Town,ZA,-33.9258,18.4232,78.12,46,0,29.93,clear sky
4,Berezovka,BY,53.7214,25.4993,32.43,97,100,17.2,light snow
5,Cheney,US,47.4874,-117.5758,23.63,95,100,9.22,mist
6,Hilo,US,19.7297,-155.09,67.12,75,0,6.91,clear sky
7,Hobart,AU,-42.8794,147.3294,64.11,83,100,11.5,light intensity drizzle
8,Tazovskiy,RU,67.4667,78.7,3.07,95,99,10.54,overcast clouds
9,Amapa,BR,1.0,-52.0,78.15,80,100,3.74,overcast clouds
10,Grindavik,IS,63.8424,-22.4338,34.27,64,75,34.52,broken clouds
11,Nynashamn,SE,58.9034,17.9479,34.14,60,1,18.01,clear sky
12,Bengkulu,ID,-3.8004,102.2655,78.21,81,81,3.47,broken clouds
13,Hermanus,ZA,-34.4187,19.2345,77.9,61,3,13.58,clear sky
14,Atuona,PF,-9.8,-139.0333,77.16,76,3,14.88,clear sky
15,Lensk,RU,60.7253,114.9278,-9.87,98,54,6.53,broken clouds
16,Pevek,RU,69.7008,170.3133,-19.05,98,100,3.02,overcast clouds
17,Mataura,NZ,-46.1927,168.8643,49.48,88,67,1.99,broken clouds
18,Yellowknife,CA,62.456,-114.3525,0.41,94,100,12.66,light snow
19,San Patricio,US,28.017,-97.5169,48.88,70,100,17.56,overcast clouds
20,Half Moon Bay,US,37.4636,-122.4286,54.59,68,0,0.0,clear sky
21,Saint-Philippe,RE,-21.3585,55.7679,80.19,80,56,10.2,broken clouds
22,Maloy,NO,61.9353,5.1136,39.06,92,100,8.01,light rain
23,Busselton,AU,-33.65,115.3333,68.04,65,0,16.04,clear sky
24,Taoudenni,ML,22.6783,-3.9836,83.61,10,90,13.73,overcast clouds
25,Tacuarembo,UY,-31.7333,-55.9833,78.76,34,0,9.69,clear sky
26,Nantucket,US,41.2835,-70.0995,37.15,71,100,10.25,overcast clouds
27,Ahuimanu,US,21.4447,-157.8378,66.78,90,40,0.0,scattered clouds
28,Ushuaia,AR,-54.8,-68.3,55.06,71,75,4.61,broken clouds
29,Meulaboh,ID,4.1363,96.1285,80.46,79,62,3.47,broken clouds
30,Puerto Ayora,EC,-0.7393,-90.3518,82.36,72,98,4.56,overcast clouds
31,Avera,US,33.194,-82.5271,40.91,47,100,0.58,overcast clouds
32,Port Blair,IN,11.6667,92.75,80.1,75,78,11.34,broken clouds
33,Nanortalik,GL,60.1432,-45.2371,17.85,73,66,4.85,broken clouds
34,Jamestown,US,42.097,-79.2353,24.12,51,100,9.22,mist
35,Arraial Do Cabo,BR,-22.9661,-42.0278,85.96,74,75,8.05,broken clouds
36,Punta Arenas,CL,-53.15,-70.9167,62.62,76,0,6.91,clear sky
37,Fortuna,US,40.5982,-124.1573,38.32,93,0,12.66,clear sky
38,Faanui,PF,-16.4833,-151.75,81.07,74,8,16.4,light rain
39,Rikitea,PF,-23.1203,-134.9692,77.38,77,100,17.09,light rain
40,Katsuura,JP,35.1333,140.3,43.2,60,83,10.74,broken clouds
41,Barrow,US,71.2906,-156.7887,-18.38,69,0,12.66,clear sky
42,Muisne,EC,0.6,-80.0333,82.51,84,100,0.67,light rain
43,Avarua,CK,-21.2078,-159.775,78.85,89,20,8.05,few clouds
44,Acapulco,MX,16.8634,-99.8901,75.02,73,40,4.61,scattered clouds
45,Ostrovnoy,RU,68.0531,39.5131,8.08,96,93,8.37,overcast clouds
46,Udachnyy,RU,66.4167,112.4,-24.77,100,28,2.15,scattered clouds
47,Nongan,CN,44.382,125.1685,5.41,89,6,6.58,clear sky
48,Castro,BR,-24.7911,-50.0119,64.31,98,100,5.75,overcast clouds
49,Olafsvik,IS,64.8945,-23.7142,31.1,90,100,15.59,light snow
50,Kaeo,NZ,-35.1,173.7833,65.32,78,38,10.94,scattered clouds
51,Port Alfred,ZA,-33.5906,26.891,73.11,71,26,21.47,scattered clouds
52,Esperance,AU,-33.8667,121.9,65.55,74,0,16.89,clear sky
53,Mooresville,US,35.5849,-80.8101,40.01,63,88,3.13,overcast clouds
54,Tondano,ID,1.3038,124.9112,69.89,96,72,2.55,broken clouds
55,Fort Saint James,CA,54.4333,-124.25,10.4,98,99,2.53,overcast clouds
56,Dikson,RU,73.5069,80.5464,6.84,92,100,19.93,overcast clouds
57,Rockhampton,AU,-23.3833,150.5,73.29,88,100,4.61,overcast clouds
58,Butaritari,KI,3.0707,172.7902,81.93,79,19,17.69,few clouds
59,Dergachi,RU,51.2328,48.7659,17.55,96,100,4.27,light snow
60,Xushan,CN,30.1764,121.2457,40.96,98,100,7.38,overcast clouds
61,Itigi,TZ,-5.7,34.4833,71.91,74,77,4.59,light rain
62,Jiehu,CN,35.5428,118.455,32.52,38,100,1.77,overcast clouds
63,Ponta Delgada,PT,37.7333,-25.6667,61.5,72,40,14.97,scattered clouds
64,Isangel,VU,-19.55,169.2667,77.23,92,100,12.64,moderate rain
65,Salamanca,ES,40.8333,-6.0,55.18,33,0,12.95,clear sky
