City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Gat,IL,2022-01-26 18:10:35,31.61,34.7642,48.88,100,100,19.28
1,Qobustan,AZ,2022-01-26 18:10:36,40.0824,49.412,44.71,76,100,4.41
2,Klaksvik,FO,2022-01-26 18:10:36,62.2266,-6.589,38.32,100,100,28.39
3,Codrington,AU,2022-01-26 18:10:36,-38.2667,141.9667,67.48,87,48,6.55
4,Cape Town,ZA,2022-01-26 18:07:18,-33.9258,18.4232,71.35,75,19,5.01
5,Aksu,CN,2022-01-26 18:10:37,41.1231,80.2644,24.35,56,42,1.41
6,Pichayevo,RU,2022-01-26 18:10:37,53.2363,42.2032,4.32,99,100,5.41
7,Rikitea,PF,2022-01-26 18:10:37,-23.1203,-134.9692,78.19,75,3,18.72
8,Cam Ranh,VN,2022-01-26 18:10:37,11.9214,109.1591,73.36,78,20,4.61
9,Kruisfontein,ZA,2022-01-26 18:10:38,-34.0033,24.7314,67.89,90,100,8.79
10,Ushuaia,AR,2022-01-26 18:10:38,-54.8,-68.3,51.46,66,75,32.21
11,Alice Springs,AU,2022-01-26 18:10:38,-23.7,133.8833,78.35,73,85,10.36
12,Dikson,RU,2022-01-26 18:10:39,73.5069,80.5464,14.38,92,100,27.83
13,Noumea,NC,2022-01-26 18:10:39,-22.2763,166.4572,78.01,99,93,6.64
14,Mount Gambier,AU,2022-01-26 18:10:39,-37.8333,140.7667,69.93,78,52,6.29
15,Mahibadhoo,MV,2022-01-26 18:10:40,3.7833,72.9667,80.67,63,94,13.22
16,Saurimo,AO,2022-01-26 18:10:40,-9.6608,20.3916,65.84,95,99,4.25
17,Khalkhal,IR,2022-01-26 18:10:40,37.6189,48.5258,26.47,95,54,2.48
18,Punta Arenas,CL,2022-01-26 18:10:40,-53.15,-70.9167,55.42,64,0,21.85
19,Dunedin,NZ,2022-01-26 18:10:41,-45.8742,170.5036,51.8,71,53,14.0
20,Verkhnetulomskiy,RU,2022-01-26 18:10:41,68.6073,31.7962,-0.27,97,88,3.2
21,Baruun-Urt,MN,2022-01-26 18:10:41,46.6806,113.2792,-8.52,93,8,5.21
22,Qaanaaq,GL,2022-01-26 18:10:41,77.484,-69.3632,-8.66,61,93,7.23
23,Mataura,NZ,2022-01-26 18:10:42,-46.1927,168.8643,50.49,99,53,3.15
24,Aripuana,BR,2022-01-26 18:10:42,-9.1667,-60.6333,76.32,96,100,3.91
25,Khani,GE,2022-01-26 18:10:42,41.9563,42.9566,33.37,94,100,2.68
26,Valparaiso,CL,2022-01-26 18:10:43,-33.0393,-71.6273,69.48,58,0,13.8
27,Birakan,RU,2022-01-26 18:10:43,49.0167,131.7,-15.3,100,18,3.2
28,Bluff,NZ,2022-01-26 18:10:43,-46.6,168.3333,50.81,71,24,15.08
29,Clyde River,CA,2022-01-26 18:10:43,70.4692,-68.5914,-7.37,84,100,37.98
30,Longyearbyen,SJ,2022-01-26 18:10:44,78.2186,15.6401,12.04,57,20,13.8
31,Kapaa,US,2022-01-26 18:08:55,22.0752,-159.319,73.72,78,40,4.0
32,Richards Bay,ZA,2022-01-26 18:10:44,-28.783,32.0377,76.03,83,57,8.3
33,Chuy,UY,2022-01-26 18:10:44,-33.6971,-53.4616,70.9,96,100,8.1
34,Garsten,AT,2022-01-26 18:10:45,47.9987,14.4035,34.38,84,23,4.9
35,Hobart,AU,2022-01-26 18:07:54,-42.8794,147.3294,62.06,80,40,1.99
36,Lac Du Bonnet,CA,2022-01-26 18:10:45,50.2536,-96.0612,22.33,93,100,14.94
